Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,sales_lag_1,sales_lag_2,rolling_mean_3,sales_pct_change
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,1641957.44,1643690.9,1632538.8366666667,-0.01826434063966975
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,1611968.17,1641957.44,1554551.0666666667,-0.1254618942010498
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,1409727.59,1611968.17,1525500.8133333332,0.1029128542486708
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,1554806.68,1409727.59,1468025.2866666669,-0.07413467634445703
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,1439541.59,1554806.68,1488954.6866666668,0.0229060419157463
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,1472515.79,1439541.59,1438829.0999999999,-0.04623778601382611
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,1404429.92,1472515.79,1490637.9966666668,0.13566953913941115
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,1594968.28,1404429.92,1514938.9100000001,-0.03106629180111342
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,1545418.53,1594968.28,1535481.6966666665,-0.05135194671180754
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,1466058.28,1545418.53,1467577.6433333333,-0.051022637381100466
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,1391256.12,1466058.28,1427471.7033333331,0.024326642315147362
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,1425100.71,1391256.12,1473437.3166666667,0.1255029969074959
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,1603955.12,1425100.71,1507769.11,-0.06839569176972993
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,1494251.5,1603955.12,1499289.5633333335,-0.06330221518934387
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,1399662.07,1494251.5,1441994.5066666666,0.02315407461173824
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,1432069.95,1399662.07,1482418.9100000001,0.12810460829793957
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,1615524.71,1432069.95,1530051.9166666667,-0.0451640383761136
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,1542561.09,1615524.71,1553789.9533333334,-0.025462220105655575
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,1503284.06,1542561.09,1489518.9166666667,-0.05359762811560709
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,1422711.6,1503284.06,1472804.6000000003,0.04899555187432214
